カテゴリー,事例名,AIがしていること（具体例）,適用業務・シーン,期待効果,URL,出典・備考
開発,コード生成・レビュー（パナソニック）,自然言語からコードを生成し、既存コードを分析してバグを検出・修正提案、テストケースを自動生成,モーター設計、ソフトウェア開発全般,モーター設計で出力15%向上、開発時間50%削減,https://xtech.nikkei.com/atcl/nxt/news/24/01061/,パナソニック：大規模AI導入事例
開発,コード生成（DeNA）,操作画面の録画動画をAIに読み込ませてGAS（Google Apps Script）のコードを生成,業務自動化、GAS開発,テキスト入力なしでコード生成、開発効率向上,https://internet.watch.impress.co.jp/docs/yajiuma/2074241.html,DeNA AI活用100本ノック096本目
開発,コード生成（DeNA詳細）,操作画面の録画動画をGeminiに読み込ませることで、テキスト入力なしでGASのコードを生成,業務自動化、GAS開発,マルチモーダル活用による効率的なコード生成,https://jacky-webworks.com/ai/dena-ai-100-tips/,DeNA AI活用100本ノック096本目詳細
開発,バグ検出・修正提案（一般的）,既存コードを分析してバグを検出・修正提案、セキュリティリスクやパフォーマンス問題を指摘,ソフトウェア開発、コードレビュー,バグ検出率30%向上、コードレビュー時間60%削減,社内資料：docks/reports/technical_verification/01_copilot_feature_verification.md,Microsoft Copilot機能検証
分析,Excelデータ分析・可視化（Ma'aden）,Excelデータを分析し、トレンド・パターンを自動抽出、グラフ・ダッシュボードを自動生成,データ分析、意思決定支援,Excelの洞察抽出、分析時間40%削減,https://www.microsoft.com/en/customers/story/21514-maaden-microsoft-365-copilot,Ma'aden：Microsoft 365 Copilot導入事例
分析,トレンド分析・クロスマーチャンダイジング,自社販売データと外部トレンドを統合分析、商品Aと商品Bの相関性を分析,売上分析、トレンド分析、クロスマーチャンダイジング提案,洞察発見速度3倍向上、意思決定速度2倍向上,https://exawizards.com/column/article/ai/ai-cases-of-manufacturing/,製造業AI活用事例集
分析,業務時間削減（フジパン）,売上データから季節性を抽出、市場トレンドと比較分析,売上分析、業務効率化,月間295人日の業務時間削減,https://exawizards.com/column/article/ai/ai-cases-of-manufacturing/,フジパン：製造業AI活用事例
分析,製氷事業計画自動化（ニチレイ・アイス）,AIによる製氷事業の計画自動化,業務プロセス自動化,業務時間を約70%削減,https://exawizards.com/column/article/ai/ai-cases-of-manufacturing/,ニチレイ・アイス：製造業AI活用事例
企画,商品企画アイデア生成（一般的）,30代女性向けのキッチン用品の新商品アイデアを10個提案、過去の成功事例を参照,商品企画会議、事業企画,アイデア創出時間50%削減、企画書作成時間30%削減,https://biz.techvan.co.jp/tech-microsoft/blog/contents/microsoft_365_copilot_case.html,Microsoft Copilot活用事例
企画,マーケティング戦略立案（JCB）,部門別ユースケースの明確化：営業→提案書作成、経理→報告メール、人事→募集要項,営業、経理、人事部門,1人あたり月平均6時間の業務削減、年間数億円のコスト削減,https://www.microsoft.com/ja-jp/customers/story/23634-jcb-co-ltd-microsoft-365-copilot,JCB：利用率83%達成の金融業界事例
企画,文書作成支援（住友商事）,Word/PowerPointでの文書作成支援、Teams会議でのリアルタイム翻訳・要約,全社的な文書作成、会議支援,月間アクティブユーザー率70%、業務時間削減10,560時間/月,https://www.microsoft.com/ja-jp/customers/story/1799870297941010991-sumitomo-corporation-azure-ai-studio-professional-services-ja-japan,住友商事：大規模Copilot展開事例
企画,文書作成支援（住友商事詳細）,Word/PowerPointでの文書作成支援、Outlookメール作成支援,全社的な文書作成、メール作成,契約書チェック時間を3分の1に短縮、年間12億円のコスト削減見込み,https://engagesq.com/ja/our-work/case-studies/sc-copilot-jp/,住友商事：詳細事例
資料,仕様書・設計書作成（Microsoft Research）,仕様書・設計書のドラフトを生成、既存文書を要約・整理,文書作成全般,主要編集者としての文書完了が平均0.5日早い、定常利用者ではほぼ1日早い,https://www.microsoft.com/en-us/research/publication/early-impacts-of-m365-copilot/,Microsoft Research：大規模ランダム化実験（6,000人超・56社）
